2025-10-14 16:08:03 status unpacked libbz2-1.0:amd64 1.0.8-6
2025-10-14 16:08:03 status half-configured libbz2-1.0:amd64 1.0.8-6
2025-10-14 16:08:03 status installed libbz2-1.0:amd64 1.0.8-6
2025-10-14 16:08:03 configure libbsd0:amd64 0.12.2-2 <none>
2025-10-14 16:08:03 status unpacked libbsd0:amd64 0.12.2-2
2025-10-14 16:08:03 status half-configured libbsd0:amd64 0.12.2-2
2025-10-14 16:08:03 status installed libbsd0:amd64 0.12.2-2
2025-10-14 16:08:03 configure libblkid1:amd64 2.41.2-1 <none>
2025-10-14 16:08:03 status unpacked libblkid1:amd64 2.41.2-1
2025-10-14 16:08:03 status half-configured libblkid1:amd64 2.41.2-1
2025-10-14 16:08:03 status installed libblkid1:amd64 2.41.2-1
2025-10-14 16:08:03 configure libstdc++6:amd64 15.2.0-4 <none>
2025-10-14 16:08:03 status unpacked libstdc++6:amd64 15.2.0-4
2025-10-14 16:08:03 status half-configured libstdc++6:amd64 15.2.0-4
2025-10-14 16:08:03 status installed libstdc++6:amd64 15.2.0-4
2025-10-14 16:08:03 configure dash:amd64 0.5.12-12 <none>
2025-10-14 16:08:03 status unpacked dash:amd64 0.5.12-12
2025-10-14 16:08:03 status half-configured dash:amd64 0.5.12-12
2025-10-14 16:08:03 status installed dash:amd64 0.5.12-12
2025-10-14 16:08:03 configure libtinfo6:amd64 6.5+20250216-2 <none>
2025-10-14 16:08:03 status unpacked libtinfo6:amd64 6.5+20250216-2
2025-10-14 16:08:03 status half-configured libtinfo6:amd64 6.5+20250216-2
